06/03/1986;24,52
10/03/1986;24,85
12/03/1986;24,27
14/03/1986;7,75
17/03/1986;24,56
18/03/1986;23,95
19/03/1986;23,67
20/03/1986;23,27
21/03/1986;7,85
24/03/1986;23,58
25/03/1986;23,85
26/03/1986;4,77
31/03/1986;24,09
01/04/1986;23,33
02/04/1986;23,34
03/04/1986;23,62
04/04/1986;7,85
07/04/1986;23,63
08/04/1986;23,43
09/04/1986;23,43
10/04/1986;23,34
11/04/1986;7,77
14/04/1986;23,31
15/04/1986;23,1
16/04/1986;23,35
17/04/1986;23,39
18/04/1986;5,76
22/04/1986;23,27
23/04/1986;23,34
24/04/1986;23,29
25/04/1986;7,73
28/04/1986;23,33
29/04/1986;23,4
30/04/1986;11,62
02/05/1986;7,78
05/05/1986;23,5
06/05/1986;23,67
07/05/1986;23,63
08/05/1986;23,53
09/05/1986;7,82
12/05/1986;23,63
13/05/1986;23,56
14/05/1986;23,68
15/05/1986;23,66
16/05/1986;7,85
19/05/1986;23,63
20/05/1986;23,53
21/05/1986;23,54
22/05/1986;23,55
23/05/1986;5,87
27/05/1986;23,47
28/05/1986;23,67
29/05/1986;24,16
30/05/1986;8,12
02/06/1986;24,65
03/06/1986;25,01
04/06/1986;25,76
05/06/1986;26,33
06/06/1986;8,83
09/06/1986;27,08
10/06/1986;26,93
11/06/1986;26,59
12/06/1986;26,17
13/06/1986;8,84
16/06/1986;26,55
17/06/1986;26,68
18/06/1986;26,94
19/06/1986;27,08
20/06/1986;8,9
23/06/1986;27,2
24/06/1986;27,41
25/06/1986;27,24
26/06/1986;27,49
27/06/1986;9,14
30/06/1986;27,66
01/07/1986;27,61
02/07/1986;28,14
03/07/1986;30,15
04/07/1986;11,22
07/07/1986;34,45
08/07/1986;34,33
09/07/1986;34,61
10/07/1986;34,9
11/07/1986;11,6
14/07/1986;34,67
15/07/1986;34,58
16/07/1986;34,69
17/07/1986;34,79
18/07/1986;11,57
21/07/1986;34,75
22/07/1986;34,84
23/07/1986;36,29
24/07/1986;36,81
25/07/1986;12,25
28/07/1986;36,62
29/07/1986;36,72
30/07/1986;36,77
31/07/1986;36,96
01/08/1986;12,4
04/08/1986;37,07
05/08/1986;37,09
06/08/1986;37,37
07/08/1986;37,48
08/08/1986;14,78
11/08/1986;51,2
12/08/1986;51,84
13/08/1986;51,14
14/08/1986;52,74
15/08/1986;17,4
18/08/1986;53,78
19/08/1986;53,6
20/08/1986;53,21
21/08/1986;53,24
